Net 1 Epoch 0/50 Training: Batch 4/2048. Total Loss 2.2965, Localization Loss 0.0000, Cover Loss 1.0069, Recover Loss 1.2897, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 8/2048. Total Loss 1.6678, Localization Loss 0.0000, Cover Loss 0.5594, Recover Loss 1.1084, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 12/2048. Total Loss 2.0451, Localization Loss 0.0000, Cover Loss 0.6699, Recover Loss 1.3751, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 16/2048. Total Loss 1.5078, Localization Loss 0.0000, Cover Loss 0.4781, Recover Loss 1.0297, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 20/2048. Total Loss 1.9122, Localization Loss 0.0000, Cover Loss 0.6330, Recover Loss 1.2791, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 24/2048. Total Loss 1.3252, Localization Loss 0.0000, Cover Loss 0.4350, Recover Loss 0.8902, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 28/2048. Total Loss 1.0182, Localization Loss 0.0000, Cover Loss 0.3557, Recover Loss 0.6624, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 32/2048. Total Loss 1.2760, Localization Loss 0.0000, Cover Loss 0.5192, Recover Loss 0.7569, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 36/2048. Total Loss 1.0245, Localization Loss 0.0000, Cover Loss 0.3485, Recover Loss 0.6760, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 40/2048. Total Loss 1.1415, Localization Loss 0.0000, Cover Loss 0.5424, Recover Loss 0.5991, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 44/2048. Total Loss 0.7659, Localization Loss 0.0000, Cover Loss 0.3623, Recover Loss 0.4036, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 48/2048. Total Loss 0.9500, Localization Loss 0.0000, Cover Loss 0.4420, Recover Loss 0.5081, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 52/2048. Total Loss 0.7451, Localization Loss 0.0000, Cover Loss 0.2667, Recover Loss 0.4784, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 56/2048. Total Loss 0.7242, Localization Loss 0.0000, Cover Loss 0.2832, Recover Loss 0.4409, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 60/2048. Total Loss 0.9168, Localization Loss 0.0000, Cover Loss 0.3503, Recover Loss 0.5666, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
